team,group
EDward Gaming,alpha
Dragon Ranger Gaming,alpha
Bilibili Gaming,alpha
Wolves Esports,alpha
Nova Esports,alpha
FunPlus Phoenix,omega
Trace Esports,omega
All Gamers,omega
Titan Esports Club,omega
TYLOO,omega
JD Gaming,omega
100 Thieves,omega
Cloud9,alpha
Evil Geniuses,omega
FURIA,omega
G2 Esports,alpha
KRÜ Esports,alpha
LOUD,omega
Leviatán,omega
MIBR,omega
NRG Esports,alpha
Sentinels,alpha
BLEED,alpha
DRX,omega
DetonatioN FocusMe,omega
Gen.G,alpha
Global Esports,alpha
Paper Rex,omega
Rex Regum Qeon,omega
T1,alpha
Talon Esports,omega
Team Secret,alpha
ZETA DIVISION,omega
BBL Esports,alpha
FNATIC,alpha
FUT Esports,omega
GIANTX,omega
Gentle Mates,omega
KOI,omega
Karmine Corp,alpha
Natus Vincere,omega
Team Heretics,omega
Team Liquid,alpha
Team Vitality,alpha